,Name,Facility Count,Demand,Facility/Demand
0,California,761,39356141,1.933624539052241e-05
1,Washington,149,7562699,1.9701960900466885e-05
2,Texas,574,28881232,1.987449842859889e-05
3,Utah,64,3201120,1.99930024491428e-05
4,South Carolina,110,5107226,2.1538110904040667e-05
5,Maryland,132,6010629,2.1961095918580237e-05
6,New Mexico,46,2085174,2.206050909900085e-05
7,Nevada,69,3069329,2.248048351936205e-05
8,Massachusetts,155,6887571,2.2504305218777417e-05
9,District of Columbia,16,701570,2.2805992274470116e-05
10,Arizona,171,7259090,2.3556671704029017e-05
11,Vermont,15,623417,2.4060941552764842e-05
12,Colorado,138,5722795,2.411409110408463e-05
13,Virginia,205,8420244,2.4346087833084173e-05
14,Oregon,108,4215178,2.5621693793239575e-05
15,North Carolina,270,10390610,2.598499991819537e-05
16,Missouri,159,6118557,2.5986519370498633e-05
17,Georgia,277,10554409,2.624495601790683e-05
18,Illinois,335,12644109,2.6494551731561314e-05
19,Indiana,179,6729379,2.659977986081628e-05
20,Pennsylvania,343,12795687,2.6805907334244733e-05
21,Hawaii,37,1370589,2.699569309253175e-05
22,Michigan,271,9983148,2.714574601117804e-05
23,Idaho,49,1783529,2.7473621118580074e-05
24,Arkansas,83,3012542,2.755148309965471e-05
25,New Jersey,247,8872796,2.7837899124469896e-05
26,Tennessee,192,6808577,2.8199725140804017e-05
27,New York,550,19428617,2.8308757128724086e-05
28,Ohio,333,11680341,2.8509441633596143e-05
29,Alabama,142,4889347,2.9042733109349778e-05
30,Florida,628,21409839,2.93323083840098e-05
31,Oklahoma,116,3937529,2.946010048433929e-05
32,Delaware,30,970344,3.0916870718013404e-05
33,Louisiana,145,4632866,3.129812086082352e-05
34,Connecticut,114,3558382,3.20370325614282e-05
35,Rhode Island,34,1054930,3.222962661029642e-05
36,Kentucky,144,4450887,3.235310175252708e-05
37,New Hampshire,44,1358406,3.2390905222739005e-05
38,Mississippi,99,2962093,3.342231320893706e-05
39,West Virginia,64,1791176,3.573071546291375e-05
40,Maine,48,1342845,3.574500407716453e-05
41,Wisconsin,215,5819432,3.694518640307164e-05
42,Minnesota,210,5637494,3.7250593969590036e-05
43,Kansas,109,2890576,3.770874732233299e-05
44,Montana,47,1065217,4.4122465187844356e-05
45,Iowa,145,3153269,4.5984024832641937e-05
46,Alaska,33,712114,4.634089485672238e-05
47,Nebraska,93,1927803,4.824144375747937e-05
48,Wyoming,30,575665,5.211364248304135e-05
49,South Dakota,48,881196,5.447142292974548e-05
50,North Dakota,48,754887,6.358567573689837e-05
