,Name,Demand
0,Total,327052602
1,Alabama,4889347
2,Alaska,712114
3,Arizona,7259090
4,Arkansas,3012542
5,California,39356141
6,Colorado,5722795
7,Connecticut,3558382
8,Delaware,970344
9,District of Columbia,701570
10,Florida,21409839
11,Georgia,10554409
12,Hawaii,1370589
13,Idaho,1783529
14,Illinois,12644109
15,Indiana,6729379
16,Iowa,3153269
17,Kansas,2890576
18,Kentucky,4450887
19,Louisiana,4632866
20,Maine,1342845
21,Maryland,6010629
22,Massachusetts,6887571
23,Michigan,9983148
24,Minnesota,5637494
25,Mississippi,2962093
26,Missouri,6118557
27,Montana,1065217
28,Nebraska,1927803
29,Nevada,3069329
30,New Hampshire,1358406
31,New Jersey,8872796
32,New Mexico,2085174
33,New York,19428617
34,North Carolina,10390610
35,North Dakota,754887
36,Ohio,11680341
37,Oklahoma,3937529
38,Oregon,4215178
39,Pennsylvania,12795687
40,Rhode Island,1054930
41,South Carolina,5107226
42,South Dakota,881196
43,Tennessee,6808577
44,Texas,28881232
45,Utah,3201120
46,Vermont,623417
47,Virginia,8420244
48,Washington,7562699
49,West Virginia,1791176
50,Wisconsin,5819432
51,Wyoming,575665
