,Sex Code,Age,S Rate
0,F,20,9.452822371411448e-05
1,F,25,0.01060003298431636
2,F,30,0.0442524828743016
3,F,35,0.11767235310917405
4,F,40,0.259276838976199
5,F,45,0.3946356238661642
6,F,50,0.46896457403973413
7,F,55,0.5448429825866945
8,F,60,0.6924071712730739
9,F,65,0.8816687650591506
10,F,70,0.9622011801949293
11,F,75,0.9536192242249693
12,F,80,0.8458445795103037
13,F,85,0.6680438289159826
14,M,50,6.637088048012292e-05
15,M,55,0.00018771562155994362
16,M,60,0.0006166458168244148
17,M,65,0.001299260266368467
18,M,70,0.0012521972783916526
19,M,75,0.0010663588130473084
20,M,80,0.0010076306400164116
21,M,85,0.000683821192825509
